Package_Type,Package_ID,Product_ID,Package_Name,Active_Subscriptions,Package_Form,Subscription_Model,Product_Fee_Code,Provincial_Fee_Code,Commodity_Code,Product_Code,Rights_Type,Original_Price,Sales_Price,Configuration_Method,Is_Settlement,Is_Atomic_Service_Settlement,Associated_Provincial_Contract,Platform,Fee_Level,Province,Payment_Method,Order_Direction,Is_Random,Partner_Platform,Benefits_Detail,Sub_Package_List,Parent_Package_List,Update_Time,Status,Operation
Consultation,PKG770487,PROD_665579,Basic_Silver_Package_763,0.0,Official,Monthly_Recurring,FEE333995652670,PFEE345790651066,-,CODE979090220563,Multi_Screen,9.81,8.35,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_D,1. Health records access | 2. AI health assistant | 3. Appointment booking | 4. Phone consultation service | 5. Medicine discount,-,-,2025-11-14 19:02:53,Active,
Monitoring,PKG216739,PROD_916449,Health_Plus_Package_943,0.0,Official,Monthly_Recurring,FEE_520521,PFEE_124813,-,CODE_523956,Multi_Screen,276.0,269.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_C,Partner_A",1. Text consultation service | 2. AI health assistant | 3. Phone consultation service,-,-,2025-04-24 18:32:03,Active,
Consultation,PKG126225,PROD_656116,Premium_Plus_Package_409,1.0,Official,Single_Purchase,FEE161483,PFEE792094,-,CODE859359,Multi_Screen,4.46,4.23,Full_Package,No,No,,Product_Center,,National,Third_Party_Payment,Reverse_Order,Yes,"Partner_E,Partner_B,Partner_C",1. Text consultation service | 2. Appointment booking | 3. Health records access | 4. Video consultation service,-,-,2025-11-18 10:26:01,Active,
Consultation,PKG877572,PROD_100599,Family_Platinum_Package_219,74756.0,Official,Single_Purchase,FEE536926259225012360,PFEE6124453431,-,CODE715802625342585721,Multi_Screen,3.27,3.33,Full_Package,No,No,,Platform_A,一级计费点,Province_L,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_E,Partner_A",1. AI health assistant | 2. Health assessment | 3. Medicine discount | 4. Health records access,-,-,2025-10-20 17:26:40,Active,
Consultation,PKG388389,PROD_728038,Wellness_Gold_Package_138,1.0,Official,Single_Purchase,FEE389439657508,-,-,CODE750232365798,Multi_Screen,0.0,0.0,Full_Package,No,No,,Other,,Province_M,Phone_Bill_Business_Hall,Forward_Order,Yes,"Partner_D,Partner_C",1. Health records access | 2. Appointment booking | 3. AI health assistant | 4. Text consultation service | 5. Phone consultation service | 6. Health assessment,-,-,2024-04-19 22:36:22,Active,
Consultation,PKG5108603,PROD_439902,Care_Platinum_Package_218,0.0,Official,Monthly_Recurring,FEE962972824015,PFEE406352552364,-,CODE828273518134,Multi_Screen,4.63,5.73,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_D,Partner_E,Partner_A",1. AI health assistant | 2. Health assessment | 3. Health records access,9001381,-,2025-04-23 16:47:10,Active,
Consultation,PKG334053,PROD_612340,Health_Silver_Package_650,766648.0,Official,Monthly_Recurring,FEE624588936698150093,PFEE4712367625,-,CODE196784828978964735,Small_Screen,0.0,0.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Third_Party_Payment,Reverse_Order,No,,1. Medicine discount | 2. AI health assistant | 3. Video consultation service | 4. Text consultation service | 5. Health records access,900086,-,2024-05-24 22:19:24,Active,
Consultation,PKG3341057,PROD_120422,Wellness_Platinum_Package_564,559181.0,Official,Monthly_Recurring,FEE587694422449199090,PFEE6493800024,-,CODE594156880886316478,Small_Screen,3.29,3.39,Full_Package,No,No,,Platform_A,一级计费点,Province_M,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_B",1. AI health assistant | 2. Health assessment | 3. Video consultation service | 4. Health records access | 5. Text consultation service,-,-,2025-10-12 18:46:27,Active,
Monitoring,PKG872246,PROD_217301,Care_Plus_Package_860,0.0,Official,Monthly_Recurring,FEE_830429,PFEE_772642,-,CODE_242291,Multi_Screen,353.0,239.0,Full_Package,No,No,,Other,,Province_M,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_B,Partner_A",1. Phone consultation service | 2. Health records access | 3. Video consultation service | 4. Medicine discount | 5. Health assessment,-,-,2025-05-30 18:36:09,Active,
Consultation,PKG2719583,PROD_480612,Family_Standard_Package_529,296064.0,City,Monthly_Recurring,FEE_865990,PFEE_634150,-,CODE_584125,Multi_Screen,16.0,17.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_B,Partner_D",1. Video consultation service | 2. Health assessment | 3. Medicine discount | 4. Phone consultation service | 5. Text consultation service | 6. Appointment booking,"9001699,9001700,9001701,9001702,9001724,9001783",-,2025-09-27 14:48:28,Active,
Consultation,PKG2458591,PROD_972064,Basic_Plus_Package_844,118494.0,Official,Monthly_Recurring,FEE863085665046287668,PFEE7597996327,-,CODE157974233846106913,Multi_Screen,8.77,9.85,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,Partner_E,1. Text consultation service | 2. Video consultation service | 3. Health assessment | 4. Appointment booking | 5. AI health assistant | 6. Health records access,-,-,2025-06-04 09:59:34,Active,
Consultation,PKG8078673,PROD_945964,Wellness_Platinum_Package_770,106813.0,City,Monthly_Recurring,FEE_853305,PFEE_128941,-,CODE_372793,Multi_Screen,16.0,12.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_D,Partner_B",1. Text consultation service | 2. Video consultation service | 3. Phone consultation service,"9001695,9001696,9001697,9001723,9001694,9001784",-,2025-10-20 14:48:28,Active,
Consultation,PKG1533224,PROD_422451,Health_Platinum_Package_730,52363.0,Official,Monthly_Recurring,FEE278468593457332089,PFEE9462806178,-,CODE477411929117619059,Multi_Screen,2.73,3.02,Full_Package,No,No,,Platform_A,一级计费点,Province_I,Phone_Bill_Business_Hall,Forward_Order,Yes,"Partner_B,Partner_C",1. AI health assistant | 2. Health assessment | 3. Medicine discount | 4. Health records access | 5. Phone consultation service | 6. Appointment booking | 7. Text consultation service | 8. Video consultation service,9001568,-,2025-10-20 18:59:49,Active,
Monitoring,PKG1499914,PROD_351083,Premium_Bronze_Package_133,711.0,Official,Monthly_Recurring,FEE422938152332,-,-,CODE599125280348,Multi_Screen,10.0,10.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,No,Partner_C,1. Appointment booking | 2. AI health assistant | 3. Text consultation service | 4. Medicine discount | 5. Video consultation service | 6. Health records access,-,-,2024-01-18 15:32:38,Active,
Consultation,PKG2571945,PROD_160738,Family_Bronze_Package_322,64350.0,Official,Monthly_Recurring,FEE767749406257758934,PFEE2140169349,-,CODE489111638850808505,Multi_Screen,3.31,3.0,Full_Package,Yes,Yes,,Other,,Province_D,Third_Party_Payment,Reverse_Order,Yes,"Partner_A,Partner_D,Partner_B",1. Health records access | 2. Video consultation service | 3. Text consultation service | 4. Appointment booking | 5. Health assessment | 6. Phone consultation service | 7. AI health assistant | 8. Medicine discount,9001483,-,2025-07-04 11:09:02,Active,
Consultation,PKG329258,PROD_352572,Premium_Platinum_Package_341,42176.0,City,Monthly_Recurring,FEE_871476,PFEE7161404428,-,CODE_898207,Small_Screen,3.12,2.93,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,Partner_E,1. Phone consultation service | 2. Medicine discount | 3. Health records access | 4. AI health assistant | 5. Text consultation service,-,-,2025-07-06 09:59:33,Active,
